emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.01,0.8296296296296296,0.8666666666666667
skipgram,1,2,5,0.01,0.8296296296296296,0.8666666666666667
svd,1,2,5,0.01,0.8296296296296296,0.8666666666666667
cbow,1,2,6,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,2,6,0.01,0.8240740740740741,0.9166666666666666
svd,1,2,6,0.01,0.8296296296296296,0.8666666666666667
cbow,1,2,7,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,2,7,0.01,0.8240740740740741,0.9166666666666666
svd,1,2,7,0.01,0.8296296296296296,0.8666666666666667
cbow,1,2,8,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,2,8,0.01,0.8240740740740741,0.9166666666666666
svd,1,2,8,0.016237767391887217,0.8296296296296296,0.8666666666666667
cbow,1,2,9,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,2,9,0.01,0.8240740740740741,0.9166666666666666
svd,1,2,9,0.04281332398719394,0.8296296296296296,0.8666666666666667
cbow,1,2,10,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,2,10,0.01,0.8240740740740741,0.9166666666666666
svd,1,2,10,0.01,0.8240740740740741,0.9166666666666666
cbow,1,3,5,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,3,5,0.01,0.8240740740740741,0.9166666666666666
svd,1,3,5,0.01,0.8240740740740741,0.9166666666666666
cbow,1,3,6,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,3,6,0.01,0.8240740740740741,0.9166666666666666
svd,1,3,6,0.01,0.8240740740740741,0.9166666666666666
cbow,1,3,7,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,3,7,0.01,0.8240740740740741,0.9166666666666666
svd,1,3,7,0.01,0.8296296296296296,0.8666666666666667
cbow,1,3,8,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,3,8,0.01,0.8240740740740741,0.9166666666666666
svd,1,3,8,0.016237767391887217,0.8296296296296296,0.8666666666666667
cbow,1,3,9,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,3,9,0.01,0.8240740740740741,0.9166666666666666
svd,1,3,9,0.29763514416313175,0.8296296296296296,0.8666666666666667
cbow,1,3,10,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,3,10,0.01,0.8240740740740741,0.9166666666666666
svd,1,3,10,0.4832930238571752,0.8296296296296296,0.8666666666666667
cbow,1,4,5,0.01,0.8277777777777777,0.8833333333333333
skipgram,1,4,5,0.01,0.8240740740740741,0.9166666666666666
svd,1,4,5,0.01,0.8296296296296296,0.8666666666666667
cbow,1,4,6,0.18329807108324356,0.8277777777777777,0.8833333333333333
skipgram,1,4,6,0.01,0.8240740740740741,0.9166666666666666
